CompetitionID,MatchID,MatchTypeID,MatchType,MatchStatus,MatchDate,MatchDateNew,MatchName,MatchTime,GMTMatchTime,GMTMatchDate,FirstBattingTeamID,FirstBattingTeamName,SecondBattingTeamID,SecondBattingTeamName,FirstBattingTeamCode,SecondBattingTeamCode,GroundID,GroundName,Commentss,TossTeam,TossDetails,TossText,Flag,FirstBattingSummary,SecondBattingSummary,ClientMatchID,MATCH_COMMENCE_START_DATE,city,FlickrAlbumID,LiveStream,FBURL,T20ProMatchID,Temperature,WeatherIcon,TempUpdatedDate,GroundUmpire1ID,GroundUmpire2ID,GroundUmpire3ID,RefereeID,HomeTeamID,HomeTeamName,HomeTeamColor1,HomeTeamColor2,AwayTeamColor1,AwayTeamColor2,AwayTeamID,AwayTeamName,timezone1,MatchEndDate,MatchEndTime,MATCH_NO_OF_OVERS,ROUND_ID,MatchTypeName,RowNo,CompetitionName,GroundUmpire1,GroundUmpire2,ThirdUmpire,Comments,HomeTeamLogo,AwayTeamLogo,MatchHomeTeamLogo,MatchAwayTeamLogo,VideoScorecard,TimeZone,CurrentStrikerID,CurrentStrikerName,StrikerRuns,StrikerBalls,StrikerFours,StrikerSixes,StrikerSR,StrikerImage,CurrentNonStrikerID,CurrentNonStrikerName,NonStrikerRuns,NonStrikerBalls,NonStrikerFours,NonStrikerSixes,NonStrikerSR,NonStrikerImage,CurrentBowlerID,CurrentBowlerName,BowlerOvers,BowlerRuns,BowlerMaidens,BowlerWickets,BowlerEconomy,BowlerSR,BowlerImage,ChasingText,MatchBreakComments,MatchProgress,CurrentInnings,1Summary,1FallScore,1FallWickets,1FallOvers,1RunRate,2Summary,2FallScore,2FallWickets,2FallOvers,2RunRate,3Summary,3FallScore,3FallWickets,3FallOvers,3RunRate,4Summary,4FallScore,4FallWickets,4FallOvers,4RunRate,5Summary,5FallScore,5FallWickets,5FallOvers,5RunRate,6Summary,6FallScore,6FallWickets,6FallOvers,6RunRate,DivisionID,SecondInningsFirstBattingID,SecondInningsFirstBattingName,SecondInningsSecondBattingID,SecondInningsSecondBattingName,ThirdInningsFirstBattingID,ThirdInningsFirstBattingName,ThirdInningsSecondBattingID,ThirdInningsSecondBattingName,WinningTeamID,MatchOrder,RevisedOver,RevisedTarget,MatchRow,ProjectedScore,2ndProjectedScore,3rdProjectedScore,TeamType,MOM,MOM_TYPE,MOMPlayerId,MOMRuns,MOMBalls,MOMWicket,MOMRC,MOMImage,KO,GMTMatchEndTime,GMTMatchEndDate,AudioHighlightsText,AudioHighlightsPath,AudioPodcastPath,matchDateTime,timestamp,CustomMatchTime
57,443,5,T20 D/N,Post,2022-02-09,9 Feb 2022,New Zealand Women VS India Women,13:00,00:00 GMT,2022-02-09,73,New Zealand Women,52,India Women,NZW,INDW,67,John Davies Oval,New Zealand Women Won by 18  Runs ,India Women,India Women won the Toss and elected to Field, won the Toss and elected to Field,0,155/5 (20.0 Ov),137/8 (20.0 Ov),,2022-02-09T13:00:00,Queenstown,,,,,,,,475,471,106,108,73,New Zealand Women,,,,,52,India Women,Pacific/Auckland,9 Feb 2022,18:00,20,0,T20,1.0,INDIA WOMEN TOUR OF NEW ZEALAND  ONLY WT20I 2022,John Dempsey,Kim Cotton,Billy Bowden,New Zealand Women Won by 18  Runs ,https://scores.bcci.tv/matchcentre/teamlogos/new_zealand.png,https://scores.bcci.tv/matchcentre/teamlogos/india.png,https://scores.bcci.tv/matchcentre/teamlogos/new_zealand.png,https://scores.bcci.tv/matchcentre/teamlogos/india.png,0,+9.5,b1f21886ecdc483c8e5ae8caa4955e2,Poonam Yadav,1,1,0,0,100.0,https://scores.bcci.tv/matchcentre/playerimages/Poonam-Yadav.jpg,934e9959231c4ca3b118005cdbee4e8,Deepti Sharma,3,3,0,0,100.0,https://scores.bcci.tv/matchcentre/playerimages/Deepti-Sharma.jpg,2022-100mb00000000898-1f504c1f88be11,Jess Kerr,4.0,20,0,2,5.0,12.0,https://scores.bcci.tv/matchcentre/playerimages/Jess-Kerr.jpg,,,99.58,2,155/5 (20.0 Overs),155,5,20.0,7.75,137/8 (20.0 Overs),137,8,20.0,6.85,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,73,1st T20I,,,1.0,137,0.0,0.0,,,,,,,,,,,,,,,,,0.0,
58,444,1,One Day D/N,Post,2022-02-12,12 Feb 2022,New Zealand Women VS India Women,11:00,22:00 GMT,2022-02-11,73,New Zealand Women,52,India Women,NZW,INDW,67,John Davies Oval,New Zealand Women Won by 62 Runs ,India Women,India Women won the Toss and elected to Field, won the Toss and elected to Field,1,275/10 (48.1 Ov),213/10 (49.4 Ov),,2022-02-12T11:00:00,Queenstown,,,,,,,,260,476,475,108,73,New Zealand Women,,,,,52,India Women,Pacific/Auckland,12 Feb 2022,19:00,50,0,ODI,1.0,INDIA WOMEN TOUR OF NEW ZEALAND ODI SERIES 2022,Derek Walker,John Bromley,John Dempsey,New Zealand Women Won by 62 Runs ,https://scores.bcci.tv/matchcentre/teamlogos/new_zealand.png,https://scores.bcci.tv/matchcentre/teamlogos/india.png,https://scores.bcci.tv/matchcentre/teamlogos/new_zealand.png,https://scores.bcci.tv/matchcentre/teamlogos/india.png,0,+9.5,f14090f3a8594d77898d01ccf59bdec,Rajeshwari Gayakwad,0,1,0,0,0.0,https://scores.bcci.tv/matchcentre/playerimages/Rajeshwari-Gayakwad.jpg,2022-100mb00000000889-117ce4d488bd11,Jhulan Goswami,13,21,1,0,61.9,https://scores.bcci.tv/matchcentre/playerimages/Jhulan-Goswami.jpg,2022-100mb00000000898-1f504c1f88be11,Jess Kerr,9.4,35,2,4,3.62,14.5,https://scores.bcci.tv/matchcentre/playerimages/Jess-Kerr.jpg,,,99.67,2,275/10 (48.1 Overs),275,10,48.1,5.71,213/10 (49.4 Overs),213,10,49.4,4.29,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,73,1st ODI,,,1.0,214,0.0,0.0,,,,,,,,,,,,,,,,,0.0,
58,445,3,One Day,Post,2022-02-15,15 Feb 2022,New Zealand Women VS India Women,11:00,22:00 GMT,2022-02-14,52,India Women,73,New Zealand Women,INDW,NZW,67,John Davies Oval,New Zealand Women Won by 3 Wickets ,India Women,India Women won the Toss and elected to bat, won the Toss and elected to bat,1,270/6 (50.0 Ov),273/7 (49.0 Ov),,2022-02-15T11:00:00,Queenstown,,,,,,,,260,475,0,108,73,New Zealand Women,,,,,52,India Women,Pacific/Auckland,15 Feb 2022,19:00,50,0,ODI,2.0,INDIA WOMEN TOUR OF NEW ZEALAND ODI SERIES 2022,Derek Walker,John Dempsey,,New Zealand Women Won by 3 Wickets ,https://scores.bcci.tv/matchcentre/teamlogos/india.png,https://scores.bcci.tv/matchcentre/teamlogos/new_zealand.png,https://scores.bcci.tv/matchcentre/teamlogos/new_zealand.png,https://scores.bcci.tv/matchcentre/teamlogos/india.png,0,+9.5,2022-100mb00000000898-1f504c1f88be11,Jess Kerr,6,3,1,0,200.0,https://scores.bcci.tv/matchcentre/playerimages/Jess-Kerr.jpg,2022-100mb00000000899-40f4521488be11,Amelia Kerr,119,135,7,0,88.14,https://scores.bcci.tv/matchcentre/playerimages/Amelia-Kerr.jpg,45e022a459e64a3eb0391acc0db5efa,Harmanpreet Kaur,9.0,63,0,1,7.0,54.0,https://scores.bcci.tv/matchcentre/playerimages/Harmanpreet-Kaur.jpg,,,99.00,2,270/6 (50.0 Overs),270,6,50.0,5.4,273/7 (49.0 Overs),273,7,49.0,5.57,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,73,2nd  ODI,,,2.0,278,0.0,0.0,,,,,,,,,,,,,,,,,0.0,
58,446,3,One Day,Post,2022-02-18,18 Feb 2022,New Zealand Women VS India Women,11:00,22:00 GMT,2022-02-17,52,India Women,73,New Zealand Women,INDW,NZW,67,John Davies Oval,New Zealand Women Won by 3 Wickets ,New Zealand Women,New Zealand Women won the Toss and elected to Field, won the Toss and elected to Field,1,279/10 (49.3 Ov),280/7 (49.1 Ov),,2022-02-18T11:00:00,Queenstown,,,,,,,,477,475,476,108,73,New Zealand Women,,,,,52,India Women,Pacific/Auckland,18 Feb 2022,19:00,50,0,ODI,3.0,INDIA WOMEN TOUR OF NEW ZEALAND ODI SERIES 2022,Cory Black,John Dempsey,John Bromley,New Zealand Women Won by 3 Wickets ,https://scores.bcci.tv/matchcentre/teamlogos/india.png,https://scores.bcci.tv/matchcentre/teamlogos/new_zealand.png,https://scores.bcci.tv/matchcentre/teamlogos/new_zealand.png,https://scores.bcci.tv/matchcentre/teamlogos/india.png,0,+9.5,2022-100mb00000000893-97c12e8e88bd11,Lauren Down,64,52,6,2,123.07,https://scores.bcci.tv/matchcentre/playerimages/Lauren-Down.jpg,2022-100mb00000000900-5c0517e888be11,Frances Mackay,17,12,2,0,141.66,https://scores.bcci.tv/matchcentre/playerimages/Frankie-Mackay.jpg,934e9959231c4ca3b118005cdbee4e8,Deepti Sharma,9.1,57,0,1,6.22,55.0,https://scores.bcci.tv/matchcentre/playerimages/Deepti-Sharma.jpg,,,100,2,279/10 (49.3 Overs),279,10,49.3,5.64,280/7 (49.1 Overs),280,7,49.1,5.69,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,73,3rd  ODI,,,3.0,284,0.0,0.0,,,,,,,,,,,,,,,,,0.0,
58,447,3,One Day,Post,2022-02-22,22 Feb 2022,New Zealand Women VS India Women,11:00,22:00 GMT,2022-02-21,73,New Zealand Women,52,India Women,NZW,INDW,67,John Davies Oval,New Zealand Women Won by 63 Runs ,India Women,India Women won the Toss and elected to Field, won the Toss and elected to Field,1,191/5 (20.0 Ov),128/10 (17.5 Ov),,2022-02-22T11:00:00,Queenstown,,,,,,,,260,476,475,111,73,New Zealand Women,,,,,52,India Women,Pacific/Auckland,22 Feb 2022,19:00,20,0,ODI,4.0,INDIA WOMEN TOUR OF NEW ZEALAND ODI SERIES 2022,Derek Walker,John Bromley,John Dempsey,New Zealand Women Won by 63 Runs ,https://scores.bcci.tv/matchcentre/teamlogos/new_zealand.png,https://scores.bcci.tv/matchcentre/teamlogos/india.png,https://scores.bcci.tv/matchcentre/teamlogos/new_zealand.png,https://scores.bcci.tv/matchcentre/teamlogos/india.png,0,+9.5,f14090f3a8594d77898d01ccf59bdec,Rajeshwari Gayakwad,4,3,1,0,133.33,https://scores.bcci.tv/matchcentre/playerimages/Rajeshwari-Gayakwad.jpg,2022-100mb00000000886-de269f4788b811,Meghna Singh,0,0,0,0,0.0,https://scores.bcci.tv/matchcentre/playerimages/Meghna-Singh.jpg,2022-100mb00000000899-40f4521488be11,Amelia Kerr,3.5,30,0,3,7.83,7.66,https://scores.bcci.tv/matchcentre/playerimages/Amelia-Kerr.jpg,,,100,2,191/5 (20.0 Overs),191,5,20.0,9.55,128/10 (17.5 Overs),128,10,17.5,7.18,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,73,4th  ODI,,,4.0,143,0.0,0.0,,,,,,,,,,,,,,,,,0.0,
58,448,3,One Day,Post,2022-02-24,24 Feb 2022,New Zealand Women VS India Women,11:00,22:00 GMT,2022-02-23,73,New Zealand Women,52,India Women,NZW,INDW,67,John Davies Oval,India Women Won by 6  Wickets ,New Zealand Women,New Zealand Women won the Toss and elected to bat, won the Toss and elected to bat,0,251/9 (50.0 Ov),255/4 (46.0 Ov),,2022-02-24T11:00:00,Queenstown,,,,,,,,260,475,476,111,73,New Zealand Women,,,,,52,India Women,Pacific/Auckland,24 Feb 2022,19:00,50,0,ODI,5.0,INDIA WOMEN TOUR OF NEW ZEALAND ODI SERIES 2022,Derek Walker,John Dempsey,John Bromley,India Women Won by 6  Wickets ,https://scores.bcci.tv/matchcentre/teamlogos/new_zealand.png,https://scores.bcci.tv/matchcentre/teamlogos/india.png,https://scores.bcci.tv/matchcentre/teamlogos/new_zealand.png,https://scores.bcci.tv/matchcentre/teamlogos/india.png,0,+9.5,2019-100mb00000000302-3a0e8c967aea11,Mithali Raj,57,66,6,0,86.36,https://scores.bcci.tv/matchcentre/playerimages/Mithali-Raj.jpg,20200f9bf4944bce11ea9b3802322e7,Richa Ghosh,7,8,1,0,87.5,https://scores.bcci.tv/matchcentre/playerimages/Richa-Ghosh.jpg,2022-100mb00000000900-5c0517e888be11,Frances Mackay,10.0,50,0,0,5.0,0.0,https://scores.bcci.tv/matchcentre/playerimages/Frankie-Mackay.jpg,,,100,2,251/9 (50.0 Overs),251,9,50.0,5.02,255/4 (46.0 Overs),255,4,46.0,5.54,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,52,5th  ODI,,,5.0,277,0.0,0.0,,,,,,,,,,,,,,,,,0.0,
59,449,1,One Day D/N,Post,2022-03-06,6 Mar 2022,Pakistan Women VS India Women,14:00,01:00 GMT,2022-03-06,52,India Women,74,Pakistan Women,INDW,PAKW,45,Bay Oval,India Women Won by 107  Runs ,India Women,India Women won the Toss and elected to bat, won the Toss and elected to bat,1,244/7 (50.0 Ov),137/10 (43.0 Ov),,2022-03-06T14:00:00,Mount Maunganui,,,,,,,,61,479,90,114,74,Pakistan Women,,,,,52,India Women,Pacific/Auckland,6 Mar 2022,23:00,50,0,ODI,1.0,ICC WOMENS WORLD CUP 2022,Alex Wharf,Sue Redfern,Sharfuddoula,India Women Won by 107  Runs ,https://scores.bcci.tv/matchcentre/teamlogos/india.png,https://scores.bcci.tv/matchcentre/teamlogos/pakistan.png?v=1,https://scores.bcci.tv/matchcentre/teamlogos/pakistan.png?v=1,https://scores.bcci.tv/matchcentre/teamlogos/india.png,0,+9.5,2022-100mb00000000928-58e5fe0199ee11,Diana Baig,24,35,2,0,68.57,,2022-100mb00000000927-1e3ec2ca99ee11,Anam Amin,5,10,0,0,50.0,,2022-100mb00000000886-de269f4788b811,Meghna Singh,7.0,21,3,1,3.0,42.0,https://scores.bcci.tv/matchcentre/playerimages/Meghna-Singh.jpg,,,100,2,244/7 (50.0 Overs),244,7,50.0,4.88,137/10 (43.0 Overs),137,10,43.0,3.19,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,52,,,,1.0,159,0.0,0.0,,,,,,,,,,,,,,,,,0.0,
59,450,1,One Day D/N,Post,2022-03-10,10 Mar 2022,New Zealand Women VS India Women,14:00,01:00 GMT,2022-03-10,73,New Zealand Women,52,India Women,NZW,INDW,8,Seddon Park,New Zealand Women Won by 62  Runs ,India Women,India Women won the Toss and elected to Field, won the Toss and elected to Field,1,260/9 (50.0 Ov),198/10 (46.4 Ov),,2022-03-10T14:00:00,Hamilton,,,,,,,,246,479,480,114,73,New Zealand Women,,,,,52,India Women,Pacific/Auckland,10 Mar 2022,23:00,50,0,ODI,2.0,ICC WOMENS WORLD CUP 2022,Ruchira Palliyaguruge,Sue Redfern,Lauren Agenbag,New Zealand Women Won by 62  Runs ,https://scores.bcci.tv/matchcentre/teamlogos/new_zealand.png,https://scores.bcci.tv/matchcentre/teamlogos/india.png,https://scores.bcci.tv/matchcentre/teamlogos/new_zealand.png,https://scores.bcci.tv/matchcentre/teamlogos/india.png,0,+9.5,f14090f3a8594d77898d01ccf59bdec,Rajeshwari Gayakwad,0,1,0,0,0.0,https://scores.bcci.tv/matchcentre/playerimages/Rajeshwari-Gayakwad.jpg,2022-100mb00000000886-de269f4788b811,Meghna Singh,12,9,2,0,133.33,https://scores.bcci.tv/matchcentre/playerimages/Meghna-Singh.jpg,2022-100mb00000000896-e89cc2ba88bd11,Hayley Jensen,6.4,30,0,2,4.5,20.0,https://scores.bcci.tv/matchcentre/playerimages/Hayley-Jensen.jpg,,,96.67,2,260/9 (50.0 Overs),260,9,50.0,5.2,198/10 (46.4 Overs),198,10,46.4,4.24,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,73,,,,2.0,212,0.0,0.0,,,,,,,,,,,,,,,,,0.0,
59,451,1,One Day D/N,Post,2022-03-12,12 Mar 2022,West Indies Women VS India Women,14:00,01:00 GMT,2022-03-12,52,India Women,75,West Indies Women,INDW,WIW,8,Seddon Park,India Women Won by 155 Runs ,India Women,India Women won the Toss and elected to bat, won the Toss and elected to bat,1,317/8 (50.0 Ov),162/10 (40.3 Ov),,2022-03-12T14:00:00,Hamilton,,,,,,,,481,22,410,115,75,West Indies Women,,,,,52,India Women,Pacific/Auckland,12 Mar 2022,23:00,50,0,ODI,3.0,ICC WOMENS WORLD CUP 2022,Eloise Sheridan,Paul Wilson,Ahmed Shah Pakteen,India Women Won by 155 Runs ,https://scores.bcci.tv/matchcentre/teamlogos/india.png,https://scores.bcci.tv/matchcentre/teamlogos/windies.png,https://scores.bcci.tv/matchcentre/teamlogos/windies.png,https://scores.bcci.tv/matchcentre/teamlogos/india.png,0,+9.5,2022-100mb00000000912-a613634399e511,Shamilia Connell,0,7,0,0,0.0,https://scores.bcci.tv/matchcentre/playerimages/J7dMcuSTOh1676270929912.png,2022-100mb00000000921-114c771999e711,Shakera Selman,7,21,0,0,33.33,https://scores.bcci.tv/matchcentre/playerimages/v7HrYEdTQd1674130818921.png,2022-100mb00000000887-2bd71c2988b911,Sneh Rana,9.3,22,1,3,2.32,19.0,https://scores.iplt20.com/ipl/playerimages/Sneh-Rana.jpg,,,100,2,317/8 (50.0 Overs),317,8,50.0,6.34,162/10 (40.3 Overs),162,10,40.3,4,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,52,,,,3.0,200,0.0,0.0,,,,,,,,,,,,,,,,,0.0,
59,452,1,One Day D/N,Post,2022-03-16,16 Mar 2022,England Women VS India Women,14:00,01:00 GMT,2022-03-16,52,India Women,53,England Women,INDW,ENGW,45,Bay Oval,England Women Won by 4 Wickets ,England Women,England Women won the Toss and elected to Field, won the Toss and elected to Field,1,134/10 (36.2 Ov),136/6 (31.2 Ov),,2022-03-16T14:00:00,Mount Maunganui,,,,,,,,471,22,196,108,53,England Women,,,,,52,India Women,Pacific/Auckland,16 Mar 2022,23:00,50,0,ODI,4.0,ICC WOMENS WORLD CUP 2022,Kim Cotton,Paul Wilson,Claire Polosak,England Women Won by 4 Wickets ,https://scores.bcci.tv/matchcentre/teamlogos/india.png,https://scores.bcci.tv/matchcentre/teamlogos/england.png?v=1,https://scores.bcci.tv/matchcentre/teamlogos/england.png?v=1,https://scores.bcci.tv/matchcentre/teamlogos/india.png,0,+9.5,c275f649a3e649cc97dbebd498171c8,Sophie Ecclestone,5,6,1,0,83.33,https://scores.bcci.tv/matchcentre/playerimages/Cpu5O8wfpt1662737336406.png,4d9ba70bfd9743669ad21842b533e62,Heather Knight,53,72,8,0,73.61,,2022-100mb00000000886-de269f4788b811,Meghna Singh,7.2,26,3,3,3.55,14.66,https://scores.bcci.tv/matchcentre/playerimages/Meghna-Singh.jpg,,,81.33,2,134/10 (36.2 Overs),134,10,36.2,3.69,136/6 (31.2 Overs),136,6,31.2,4.34,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,53,,,,4.0,217,0.0,0.0,,,,,,,,,,,,,,,,,0.0,
59,453,1,One Day D/N,Post,2022-03-19,19 Mar 2022,India Women VS Australia Women,14:00,01:00 GMT,2022-03-19,52,India Women,55,Australia Women,INDW,AUSW,10,Eden Park,Australia Women Won by 6  Wickets ,Australia Women,Australia Women won the Toss and elected to Field, won the Toss and elected to Field,1,277/7 (50.0 Ov),280/4 (49.3 Ov),,2022-03-19T14:00:00,Auckland,,,,,,,,480,90,246,114,52,India Women,,,,,55,Australia Women,Pacific/Auckland,19 Mar 2022,23:00,50,0,ODI,5.0,ICC WOMENS WORLD CUP 2022,Lauren Agenbag,Sharfuddoula,Ruchira Palliyaguruge,Australia Women Won by 6  Wickets ,https://scores.bcci.tv/matchcentre/teamlogos/india.png,https://scores.bcci.tv/matchcentre/teamlogos/aus.png?v=6,https://scores.bcci.tv/matchcentre/teamlogos/india.png,https://scores.bcci.tv/matchcentre/teamlogos/aus.png?v=6,0,+9.5,90c5749aaac341cd9758a32096fca5c,Beth Mooney,30,20,4,0,150.0,,2022-100mb00000000968-0f3b7a899a1511,Tahlia McGrath,0,2,0,0,0.0,,2022-100mb00000000889-117ce4d488bd11,Jhulan Goswami,9.3,64,0,0,6.74,0.0,https://scores.bcci.tv/matchcentre/playerimages/Jhulan-Goswami.jpg,,,99.67,2,277/7 (50.0 Overs),277,7,50.0,5.54,280/4 (49.3 Overs),280,4,49.3,5.64,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,55,,,,5.0,282,0.0,0.0,,,,,,,,,,,,,,,,,0.0,
