gid,match_id,match_name,class_name,start_date,balls,pitchmap_balls,beehive_balls,wagon_balls,catch_map_balls,has_tracking,match_status,path
3ab0e504-08f8-456a-8dce-e5351f6cc94b,221803,"India Women v South Africa Women at Bengaluru, 1st ODI, 16 Jun 2024",Women's ODI,2024-06-16,534,0,0,227,9,False,,
caf4d990-d789-4411-aa5a-6ae57b738c7c,221807,"India Women v South Africa Women at Chennai, 1st T20I, 5 Jul 2024",Women's T20I,2024-07-05,252,0,0,150,3,False,,
8d4b0f9f-3c08-42d1-9ec7-8ec40b5217e7,243616,"Sri Lanka XI v India at Colombo, 7-9 Aug 2026",Minor two-innings,2026-08-07,1627,0,0,558,15,False,,
5b34d2f9-f3ad-4374-8335-2d04887afce4,242258,"Sri Lanka Under-19s v India Under-19s at Galle, 2nd Test, 20-23 Jul 2026",Youth Test,2026-07-20,1665,0,0,0,0,False,,
16eecc7d-c069-46e1-b626-926101ff74b8,242257,"Sri Lanka Under-19s v India Under-19s at Galle, 1st Test, 13-16 Jul 2026",Youth Test,2026-07-13,1940,0,0,0,0,False,,
c113f876-1342-4bd1-944a-d047c2abcbd6,242256,"Sri Lanka Under-19s v India Under-19s at Hambantota, 3rd ODI, 9 Jul 2026",Youth ODI,2026-07-09,628,0,0,0,0,False,,
647ccff1-7951-4f79-84d2-af4e080b9719,242255,"Sri Lanka Under-19s v India Under-19s at Hambantota, 2nd ODI, 6 Jul 2026",Youth ODI,2026-07-06,587,0,0,0,0,False,,
82f1cc7c-5d46-40fc-b825-b034f242cb8c,239668,"India Under-19s Women v Sri Lanka U19 Women at Puducherry, 3rd ODI, 5 Jul 2026",Women's youth one-day,2026-07-05,411,0,0,0,0,False,,
28d6cb28-2e39-45a4-9dd8-1c9d33e78115,233794,"England A Women v India A Women at Taunton, 4 Jul 2026",Women's one-day,2026-07-04,582,0,0,303,12,False,complete,
57afb16e-9286-4887-8d0f-fdda7efa2f52,229345,"England v India at Manchester, 2nd T20I, 4 Jul 2026",Twenty20 international,2026-07-04,246,245,237,159,7,True,complete,
ebe6fccf-2f38-42db-900a-fd26eb858eaa,242254,"Sri Lanka Under-19s v India Under-19s at Hambantota, 1st ODI, 4 Jul 2026",Youth ODI,2026-07-04,620,0,0,0,0,False,complete,
3ddbaf0c-99e9-4d47-ae62-9f1d06c28e99,239667,"India Under-19s Women v Sri Lanka U19 Women at Puducherry, 2nd ODI, 3 Jul 2026",Women's youth one-day,2026-07-03,562,0,0,0,0,False,complete,
47a27f36-a3ec-4dd1-8525-b5a1c182214d,228888,"England Women v South Africa Women at The Oval, ICC Women's T20 World Cup, Semi-Final, 2 Jul 2026",Women's T20I,2026-07-02,245,244,240,148,8,True,complete,
167a188b-2a0c-4803-a2e2-c3d9abca620b,226042,"Baroda v Kerala at Hyderabad, Vijay Hazare Trophy, 23 Dec 2024",List A one-day,2024-12-23,593,0,0,0,0,False,complete,ODI/men_domestic/167a188b-2a0c-4803-a2e2-c3d9abca620b.csv
c7837fe9-b3d5-4245-afff-32ea1b73e5b1,227544,"Australia v India at Perth, 1st ODI, 19 Oct 2025",One-day international,2025-10-19,293,291,282,123,9,True,complete,ODI/men_international/c7837fe9-b3d5-4245-afff-32ea1b73e5b1.csv
e6e488ba-91f5-4435-8932-6fa585227194,225432,"England Under-19s v India Under-19s at Hove, 1st ODI, 27 Jun 2025",Youth ODI,2025-06-27,409,0,0,160,9,False,complete,ODI/men_youth/e6e488ba-91f5-4435-8932-6fa585227194.csv
