balls,batting_team_id,closure_id,innings_number,overs,runs,wickets,match_id,gid,target,ball_limit
300,2046,5,1,50.0,393,7,232166,287023f1-7d50-4bfd-9b03-9c38d9a85eee,,300
210,2445,1,2,35.0,160,10,232166,287023f1-7d50-4bfd-9b03-9c38d9a85eee,394,300
297,2445,1,1,49.3,245,10,232165,702bd484-0829-4188-a8ec-0c1087f188fd,,300
141,2046,3,2,23.3,176,2,232165,702bd484-0829-4188-a8ec-0c1087f188fd,174,162
300,2046,1,1,50.0,301,10,232164,cffce2a1-4d86-43f1-83b7-823933001634,,300
166,2445,5,2,27.4,148,4,232164,cffce2a1-4d86-43f1-83b7-823933001634,174,164
300,2445,5,1,50.0,330,7,234535,f3efcf2f-508f-4ac4-8945-e7be3af0d9e2,,300
300,3619,1,2,50.0,322,10,234535,f3efcf2f-508f-4ac4-8945-e7be3af0d9e2,331,300
120,2295,5,1,20.0,175,7,234342,9647d283-cd13-42f5-80c9-1ebf276cb685,,120
120,1939,5,2,20.0,160,7,234342,9647d283-cd13-42f5-80c9-1ebf276cb685,176,120
120,2295,5,1,20.0,221,2,234341,a11c6946-18db-46c5-9bf9-79d10e29f82d,,120
120,1939,5,2,20.0,191,6,234341,a11c6946-18db-46c5-9bf9-79d10e29f82d,222,120
120,1939,5,1,20.0,112,7,234340,c23bd71b-bda0-43b6-a470-e0ffd6ff3bbd,,120
80,2295,3,2,13.2,115,2,234340,c23bd71b-bda0-43b6-a470-e0ffd6ff3bbd,113,120
120,1939,5,1,20.0,128,9,234339,5c4c1a57-b2a8-4e31-ae7a-0c9795480a9f,,120
71,2295,3,2,11.5,129,3,234339,5c4c1a57-b2a8-4e31-ae7a-0c9795480a9f,129,120
120,1939,5,1,20.0,121,6,234338,4d465ca4-54db-4883-a5d5-f5ba709045a0,,120
88,2295,3,2,14.4,122,2,234338,4d465ca4-54db-4883-a5d5-f5ba709045a0,122,120
120,6,5,1,20.0,231,5,227570,e6342bfd-d809-4802-9189-c6a70ff0c1b5,,120
120,3,5,2,20.0,201,8,227570,e6342bfd-d809-4802-9189-c6a70ff0c1b5,232,120
120,3,1,1,20.0,117,10,227568,974d7e6a-7dc3-4a17-ab2c-4daffc655d59,,120
95,6,3,2,15.5,120,3,227568,974d7e6a-7dc3-4a17-ab2c-4daffc655d59,118,120
120,3,5,1,20.0,213,4,227567,af5dd3f5-90bc-450a-aafa-dda4825be19d,,120
115,6,1,2,19.1,162,10,227567,af5dd3f5-90bc-450a-aafa-dda4825be19d,214,120
120,6,5,1,20.0,175,6,227566,6c8c60db-1fb2-4915-894f-c3003c08ea88,,120
75,3,1,2,12.3,74,10,227566,6c8c60db-1fb2-4915-894f-c3003c08ea88,176,120
287,3,1,1,47.5,270,10,227565,02897d28-1200-4a6d-92f8-eb36a7033283,,300
239,6,3,2,39.5,271,1,227565,02897d28-1200-4a6d-92f8-eb36a7033283,271,300
300,6,5,1,50.0,358,5,227564,e2bde9da-6c75-42c4-8be2-89a98eacb8b1,,300
296,3,3,2,49.2,362,6,227564,e2bde9da-6c75-42c4-8be2-89a98eacb8b1,359,300
300,6,5,1,50.0,349,8,227563,c422f3d7-6a81-4ae3-8b6b-e5b4a3f3b397,,300
296,3,1,2,49.2,332,10,227563,c422f3d7-6a81-4ae3-8b6b-e5b4a3f3b397,350,300
114,3148,0,1,19.0,79,5,238452,e8992831-bfc6-491c-8ef1-f555207756b1,,186
,2100,0,2,0.0,,,238452,e8992831-bfc6-491c-8ef1-f555207756b1,,
300,2100,5,1,50.0,233,8,238451,7074fc81-63b6-486b-b1f0-701bebdc4ec0,,300
182,3148,1,2,30.2,168,10,238451,7074fc81-63b6-486b-b1f0-701bebdc4ec0,234,300
300,2100,5,1,50.0,202,9,238450,b6b81c91-bfd2-421b-80db-c55d9c621885,,300
289,3149,3,2,48.1,206,8,238450,b6b81c91-bfd2-421b-80db-c55d9c621885,203,300
300,3148,5,1,50.0,269,7,238449,e0727631-d02a-4a21-a4aa-951e717dabfe,,300
284,3149,1,2,47.2,243,10,238449,e0727631-d02a-4a21-a4aa-951e717dabfe,270,300
907,3,1,1,151.1,489,10,227562,4c44050c-8dee-45f9-8195-5d3f227011cf,,
503,6,1,2,83.5,201,10,227562,4c44050c-8dee-45f9-8195-5d3f227011cf,,
471,3,2,3,78.3,260,5,227562,4c44050c-8dee-45f9-8195-5d3f227011cf,,
383,6,1,4,63.5,140,10,227562,4c44050c-8dee-45f9-8195-5d3f227011cf,549,
255,3148,1,1,42.3,161,10,238448,dc150209-0724-4902-b644-3d92b799cc19,,300
246,2100,3,2,41.0,165,4,238448,dc150209-0724-4902-b644-3d92b799cc19,162,300
300,2447,5,1,50.0,325,6,232851,89a2f770-04da-4e73-ba2a-a30cac346ade,,300
295,1597,1,2,49.1,252,10,232851,89a2f770-04da-4e73-ba2a-a30cac346ade,326,300
272,2100,1,1,45.2,168,10,238447,1eda98bb-189b-44b2-b42a-a036f911c0f2,,300
177,3149,1,2,29.3,97,10,238447,1eda98bb-189b-44b2-b42a-a036f911c0f2,169,300
287,3148,1,1,47.5,265,10,238446,242a1984-e759-4529-8f80-5eb8627eac64,,300
300,3149,5,2,50.0,228,9,238446,242a1984-e759-4529-8f80-5eb8627eac64,266,300
183,2447,1,1,30.3,132,10,232850,71c5233f-6bc7-4a28-913d-746315552157,,300
167,1597,3,2,27.5,135,1,232850,71c5233f-6bc7-4a28-913d-746315552157,133,300
330,3,1,1,55.0,159,10,227561,f4002609-671f-472d-b42a-dfee6160ca8d,,
374,6,1,2,62.2,189,10,227561,f4002609-671f-472d-b42a-dfee6160ca8d,,
324,3,1,3,54.0,153,10,227561,f4002609-671f-472d-b42a-dfee6160ca8d,,
210,6,1,4,35.0,93,10,227561,f4002609-671f-472d-b42a-dfee6160ca8d,124,
300,2447,5,1,50.0,285,9,232849,1d37f115-79c0-456b-b473-a475dd399767,,300
297,1597,3,2,49.3,290,6,232849,1d37f115-79c0-456b-b473-a475dd399767,286,300
29,6,5,1,4.5,52,,227551,f8991ee6-09d0-48a9-836c-3601019c53dd,,120
,2,0,2,0.0,,,227551,f8991ee6-09d0-48a9-836c-3601019c53dd,,120
120,6,5,1,20.0,167,8,227550,1f1205a8-bd6a-425e-8658-0ce2c5e6c127,,120
110,2,1,2,18.2,119,10,227550,1f1205a8-bd6a-425e-8658-0ce2c5e6c127,168,120
463,1597,1,1,77.1,255,10,232848,38ff6be4-651e-43aa-896a-76f5910e38ac,,
285,2447,1,2,47.3,221,10,232848,38ff6be4-651e-43aa-896a-76f5910e38ac,,
536,1597,2,3,89.2,382,7,232848,38ff6be4-651e-43aa-896a-76f5910e38ac,,
588,2447,3,4,98.0,417,5,232848,38ff6be4-651e-43aa-896a-76f5910e38ac,417,
300,2295,5,1,50.0,298,7,228856,2b893690-23b7-40c7-b3b5-fce9834d336f,,300
273,1817,1,2,45.3,246,10,228856,2b893690-23b7-40c7-b3b5-fce9834d336f,299,300
120,2,5,1,20.0,186,6,227549,d406818a-b575-4543-bd15-6933e0f5e42e,,120
111,6,3,2,18.3,188,5,227549,d406818a-b575-4543-bd15-6933e0f5e42e,187,120
112,6,1,1,18.4,125,10,227548,af9375ad-ffa3-4505-b34c-d9fedc74df08,,120
80,2,3,2,13.2,126,6,227548,af9375ad-ffa3-4505-b34c-d9fedc74df08,126,120
