,ActualBallNo,MatchID,InningsNo,BattingTeamID,TeamName,BatsManName,BowlerName,BowlerType,OverNo,BallNo,Runs,BallRuns,ActualRuns,IsOne,IsTwo,IsThree,IsDotball,Extras,IsWide,IsNoBall,IsBye,IsLegBye,IsFour,IsSix,IsWicket,WicketType,Wickets,IsBowlerWicket,BallName,IsExtra,SNO,Xpitch,Ypitch,RunRuns,IsMaiden,BowlTypeID,BowlTypeName,ShotTypeID,ShotType,IsBouncer,IsFreeHit,BallCount,BCCheck,TotalRuns,TotalWickets,FiveHaul,Flag,FlagSet,PenaltyRuns,IsFifty,IsHundred,IsTwoHundred,IsHattrick
0,1,332,1,1,India,Shikhar Dhawan,Adil Rashid,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.1,0,117411,89.00,20.50,0,0,28,GOOGLY,36,CUT SHOT,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1,2,332,1,1,India,Shikhar Dhawan,Adil Rashid,,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.2,0,117412,79.00,-10.50,0,0,28,GOOGLY,97,BACKFOOT PUSH,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2,3,332,1,1,India,Shikhar Dhawan,Adil Rashid,,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0.3,0,117413,-146.00,51.50,1,0,28,GOOGLY,46,FRONTFOOT PULL SHOT,0,0,3,0,1,0,0,0,0,0,0,0,0,0
3,4,332,1,1,India,K L Rahul,Adil Rashid,,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.4,0,117414,-22.00,39.00,0,0,24,LEG SPIN,49,FORWARD DEFENCE,0,0,4,0,1,0,0,0,0,0,0,0,0,0
4,5,332,1,1,India,K L Rahul,Adil Rashid,,1,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0.5,0,117415,71.00,137.00,1,0,24,LEG SPIN,47,ON DRIVE,0,0,5,0,2,0,0,0,0,0,0,0,0,0
5,6,332,1,1,India,Shikhar Dhawan,Adil Rashid,,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.6,0,117416,-75.50,16.00,0,0,24,LEG SPIN,84,OFF DRIVE,0,0,6,0,2,0,0,0,0,0,0,0,0,0
6,1,332,1,1,India,K L Rahul,Jofra Archer,,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.1,0,117417,-97.00,36.50,0,0,39,ANGLED IN,52,BACKFOOT COVERDRIVE,0,0,1,1,2,0,1,0,0,0,0,0,0,0
7,2,332,1,1,India,K L Rahul,Jofra Archer,,2,2,0 WK,W,0,0,0,0,1,0,0,0,0,0,0,0,1,Bowled,WICKET,1,1.2,0,117418,-97.00,36.50,0,0,38,STRAIGHT BALL,51,FRONTFOOT COVERDRIVE,0,0,2,1,2,1,2,0,0,0,0,0,0,0
8,3,332,1,1,India,Virat Kohli,Jofra Archer,,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.3,0,117419,-50.50,20.00,0,0,39,ANGLED IN,50,BACKFOOT DEFENCE,0,0,3,1,2,1,3,0,0,0,0,0,0,0
9,4,332,1,1,India,Virat Kohli,Jofra Archer,,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.4,0,117420,-84.00,-11.00,0,0,39,ANGLED IN,50,BACKFOOT DEFENCE,0,0,4,1,2,1,0,0,0,0,0,0,0,0
10,5,332,1,1,India,Virat Kohli,Jofra Archer,,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.5,0,117421,-84.00,-11.00,0,0,39,ANGLED IN,50,BACKFOOT DEFENCE,0,0,5,1,2,1,0,0,0,0,0,0,0,0
11,6,332,1,1,India,Virat Kohli,Jofra Archer,,2,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.6,0,117422,14.50,0.50,0,0,39,ANGLED IN,11,LOFT ON,0,0,6,1,2,1,0,0,0,0,0,0,0,0
