,ActualBallNo,MatchID,InningsNo,BattingTeamID,TeamName,BatsManName,BowlerName,BowlerType,OverNo,BallNo,Runs,BallRuns,ActualRuns,IsOne,IsTwo,IsThree,IsDotball,Extras,IsWide,IsNoBall,IsBye,IsLegBye,IsFour,IsSix,IsWicket,WicketType,Wickets,IsBowlerWicket,BallName,IsExtra,SNO,Xpitch,Ypitch,RunRuns,IsMaiden,BowlTypeID,BowlTypeName,ShotTypeID,ShotType,IsBouncer,IsFreeHit,BallCount,BCCheck,TotalRuns,TotalWickets,FiveHaul,Flag,FlagSet,PenaltyRuns,IsFifty,IsHundred,IsTwoHundred,IsHattrick
0,1,337,1,1,India,Rohit Sharma,Mark Wood,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.1,0,118598,,,0,0,42,OUTSWINGER,105,LEFT ALONE,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1,2,337,1,1,India,Rohit Sharma,Mark Wood,,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.2,0,118599,45.50,52.50,0,0,39,ANGLED IN,50,BACKFOOT DEFENCE,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2,3,337,1,1,India,Rohit Sharma,Mark Wood,,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.3,0,118600,45.50,52.50,0,0,42,OUTSWINGER,97,BACKFOOT PUSH,0,0,3,0,0,0,0,0,0,0,0,0,0,0
3,4,337,1,1,India,Rohit Sharma,Mark Wood,,1,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0.4,0,118601,47.50,13.00,1,0,39,ANGLED IN,97,BACKFOOT PUSH,0,0,4,0,1,0,0,0,0,0,0,0,0,0
4,5,337,1,1,India,Shikhar Dhawan,Mark Wood,,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.5,0,118602,47.50,13.00,0,0,37,NIPPED AWAY,49,FORWARD DEFENCE,0,0,5,0,1,0,0,0,0,0,0,0,0,0
5,6,337,1,1,India,Shikhar Dhawan,Mark Wood,,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.6,0,118603,-53.00,-14.50,0,0,41,INSWINGER,54,LEG GLANCE,0,0,6,0,1,0,0,0,0,0,0,0,0,0
6,1,337,1,1,India,Rohit Sharma,Sam Curran,,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.1,0,118604,-53.00,-14.50,0,0,30,ANGLED ACROSS,40,FLICK,0,0,1,1,1,0,1,0,0,0,0,0,0,0
7,2,337,1,1,India,Rohit Sharma,Sam Curran,,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,1.2,0,118605,135.50,-27.00,1,0,41,INSWINGER,40,FLICK,0,0,2,1,2,0,0,0,0,0,0,0,0,0
8,3,337,1,1,India,Shikhar Dhawan,Sam Curran,,2,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,1.3,0,118606,93.00,-56.50,1,0,38,STRAIGHT BALL,35,LATE CUT,0,0,3,1,3,0,0,0,0,0,0,0,0,0
9,4,337,1,1,India,Rohit Sharma,Sam Curran,,2,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,1.4,0,118607,118.50,60.50,1,0,41,INSWINGER,27,FORWARD PUSH,0,0,4,1,4,0,0,0,0,0,0,0,0,0
10,5,337,1,1,India,Shikhar Dhawan,Sam Curran,,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.5,0,118608,118.50,60.50,0,0,42,OUTSWINGER,105,LEFT ALONE,0,0,5,1,4,0,0,0,0,0,0,0,0,0
11,6,337,1,1,India,Shikhar Dhawan,Sam Curran,,2,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.6,0,118609,118.50,60.50,0,0,42,OUTSWINGER,105,LEFT ALONE,0,0,6,1,4,0,0,0,0,0,0,0,0,0
12,1,337,1,1,India,Rohit Sharma,Mark Wood,,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,2.1,0,118610,-74.50,-67.50,1,0,42,OUTSWINGER,44,GLIDE,0,0,1,2,5,0,1,0,0,0,0,0,0,0
13,2,337,1,1,India,Shikhar Dhawan,Mark Wood,,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,2.2,0,118611,-74.50,-67.50,0,0,30,ANGLED ACROSS,105,LEFT ALONE,0,0,2,2,5,0,0,0,0,0,0,0,0,0
14,3,337,1,1,India,Shikhar Dhawan,Mark Wood,,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,2.3,0,118612,-74.50,-67.50,0,0,41,INSWINGER,97,BACKFOOT PUSH,0,0,3,2,5,0,0,0,0,0,0,0,0,0
15,4,337,1,1,India,Shikhar Dhawan,Mark Wood,,3,4,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,2.4,0,118613,176.00,-26.50,4,0,30,ANGLED ACROSS,36,CUT SHOT,0,0,4,2,9,0,0,0,0,0,0,0,0,0
16,5,337,1,1,India,Shikhar Dhawan,Mark Wood,,3,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,2.5,0,118614,176.00,-26.50,0,0,30,ANGLED ACROSS,105,LEFT ALONE,0,0,5,2,9,0,0,0,0,0,0,0,0,0
17,6,337,1,1,India,Shikhar Dhawan,Mark Wood,,3,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,2.6,0,118615,-50.00,-88.00,1,0,30,ANGLED ACROSS,54,LEG GLANCE,0,0,6,2,10,0,0,0,0,0,0,0,0,0
18,1,337,1,1,India,Shikhar Dhawan,Sam Curran,,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,3.1,0,118616,61.50,31.50,0,0,39,ANGLED IN,27,FORWARD PUSH,0,0,1,3,10,0,1,0,0,0,0,0,0,0
19,2,337,1,1,India,Shikhar Dhawan,Sam Curran,,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,3.2,0,118617,61.50,31.50,0,0,42,OUTSWINGER,105,LEFT ALONE,0,0,2,3,10,0,0,0,0,0,0,0,0,0
20,3,337,1,1,India,Shikhar Dhawan,Sam Curran,,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,3.3,0,118618,61.50,31.50,0,0,42,OUTSWINGER,105,LEFT ALONE,0,0,3,3,10,0,0,0,0,0,0,0,0,0
21,4,337,1,1,India,Shikhar Dhawan,Sam Curran,,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,3.4,0,118619,44.50,66.00,0,0,42,OUTSWINGER,84,OFF DRIVE,0,0,4,3,10,0,0,0,0,0,0,0,0,0
22,5,337,1,1,India,Shikhar Dhawan,Sam Curran,,4,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,3.5,0,118620,44.50,66.00,0,0,39,ANGLED IN,40,FLICK,0,0,5,3,10,0,0,0,0,0,0,0,0,0
23,6,337,1,1,India,Shikhar Dhawan,Sam Curran,,4,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,3.6,0,118621,44.50,66.00,0,0,42,OUTSWINGER,105,LEFT ALONE,0,0,6,3,10,0,0,0,0,0,0,0,0,0
24,1,337,1,1,India,Rohit Sharma,Mark Wood,,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,4.1,0,118622,-26.50,50.50,0,0,42,OUTSWINGER,49,FORWARD DEFENCE,0,0,1,4,10,0,1,0,0,0,0,0,0,0
25,2,337,1,1,India,Rohit Sharma,Mark Wood,,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,4.2,0,118623,-26.50,50.50,0,0,42,OUTSWINGER,49,FORWARD DEFENCE,0,0,2,4,10,0,0,0,0,0,0,0,0,0
26,3,337,1,1,India,Rohit Sharma,Mark Wood,,5,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,4.3,0,118624,-48.50,15.00,0,0,39,ANGLED IN,50,BACKFOOT DEFENCE,0,0,3,4,10,0,0,0,0,0,0,0,0,0
27,4,337,1,1,India,Rohit Sharma,Mark Wood,,5,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,4.4,0,118625,-48.50,15.00,0,0,39,ANGLED IN,50,BACKFOOT DEFENCE,0,0,4,4,10,0,0,0,0,0,0,0,0,0
