MatchID,HawkeyeID
456, 13292775068341
457, 13292847453671
458, 13292863839981
459, 13292948314936
460, 13293034787547
461, 13293122423661
462, 13293207461594
463, 13293293415269
464, 13293365742718
465, 13293381753143
466, 13293466767680
467, 13293553155511
468, 13293639994721
469, 13293726289218
470, 13293812233868
471, 13293903816482
472, 13293923058655
473, 13293937395540
474, 13294008820157
475, 13294025110363
476, 13294157535866
477, 13294245568789
478, 13294331547947
479, 13294417943694
480, 13294503635574
481, 13294575606261
482, 13294591457162
483, 13294662271640
484, 13294676865828
485, 13294759823194
486, 13294849936521
487, 13294935106363
488, 13295021780797
489, 13295108131350
490, 13295181261087
491, 13295196053249
492, 13295281516459
493, 13295368034291
494, 13295453735197
495, 13295540887956
496, 13295626832796
497, 13295712891939
498, 13295739224532
499, 13295796642602
500, 13295824078519
501, 13295839064943
502, 13295973099867
503, 13296059766158
504, 13296145997660
505, 13296231336809
506, 13296313745499
507, 13296390866098
508, 13296405525645
509, 13296476513889
510, 13296492075264
511, 13296578010294
512, 13296664333107
513, 13296750853636
514, 13296828696827
515, 13296922952987
516, 13297006222623
517, 13297078256198
518, 13297093242011
519, 13297182710340
520, 13297266684800
521, 13297354523720
522, 13297441809424
523, 13297528150109
524, 13297614391750
525, 13297700627646
528, 13297873174055
529, 13297962823098
530, 13298132000538
531, 13298306667185
856, 13324743698024
857, 13324816520112
858, 13324831440677
859, 13324901968059
860, 13324917332578
861, 13325003785811
862, 13325088838899
863, 13325175654194
864, 13325262154569
865, 13325348593299
866, 13325419992355
867, 13325435678775
868, 13325507493626
869, 13325522355178
870, 13325607062818
871, 13325693487187
872, 13325780661326
873, 13325866304302
874, 13325952796221
875, 13326025697594
876, 13326039792130
877, 13326111486220
878, 13326127058663
879, 13326212487334
880, 13326298926237
881, 13326385178016
882, 13326457464252
883, 13326476113333
884, 13326557461729
885, 13326629840886
886, 13326645204383
887, 13326716130578
888, 13326732216488
889, 13326816681461
890, 13326904240888
891, 13326989699910
892, 13327076070488
893, 13327162260067
894, 13327234368358
895, 13327251405549
896, 13327320695261
897, 13327336445411
898, 13327421564233
899, 13327507956034
901, 13327581766927
900, 13327594317737
902, 13327680964697
903, 13327768167739
904, 13327839104598
905, 13327853885430
906, 13327926106344
907, 13327941176245
908, 13328026320442
909, 13328112657990
910, 13328199213578
911, 13328285678001
912, 13328371878359
913, 13328444641391
914, 13328459236966
915, 13328530670916
916, 13328544743551
917, 13328631242848
918, 13328717496699
919, 13328803987271
920, 13328890825820
921, 13328976941410
922, 13329048890033
923, 13329064667154
924, 13329135141381
925, 13329152625587
1043, 13329322780044
1044, 13329409007408
1045, 13329584181203
1046, 13329841026373
1354, 13355591931882
1355, 13355660540203
1356, 13355675838873
1357, 13355746420892
1358, 13355762293129
1359, 13355847304982
1360, 13355934000598
1361, 13356020506091
1362, 13356106638350
1363, 13356193270918
1364, 13356279128377
1365, 13356351717079
1366, 13356365568773
1367, 13356452264769
1368, 13356538316416
1369, 13356624808818
1370, 13356711045386
1371, 13356797736319
1372, 13356884088695
1373, 13356956453495
1374, 13356971326479
1404, 13357056748206
1405, 13357143151566
1406, 13357231079698
1407, 13357317264164
1408, 13357402278170
1409, 13357489086329
1410, 13357561406759
1411, 13357575378192
1412, 13357661911469
1414, 13357747943024
1413, 13357834945190
1415, 13357920906790
1416, 13358007270696
1417, 13358093935881
1418, 13358166039978
1419, 13358182425314
1420, 13358267055186
1421, 13358353227966
1422, 13358439145017
1423, 13358526650756
1424, 13358611900107
1425, 13358685027280
1426, 13358700875995
1427, 13358770262970
1428, 13358784682298
1429, 13358871361232
1430, 13358958038782
1431, 13359043884485
1432, 13359130659470
1433, 13359216783013
1434, 13359303164745
1435, 13359375248956
1436, 13359390300259
1437, 13359476423536
1438, 13359563126421
1439, 13359648773987
1440, 13359735331306
1441, 13359822009003
1442, 13359915067744
1443, 13359979958575
1444, 13359994743280
1446, 13360167404538
1447, 13360253861046
1449, 13360426545302
1450, 13360512676253
1451, 13360584665347
1453, 13360772774180
1454, 13360858673800
1455, 13361031078612
1456, 13361203979587
1799, 13387125035814
1800, 13387195867888
1801, 13387210308653
1802, 13387296799883
1803, 13387383320502
1804, 13387470709054
1805, 13387555860163
1806, 13387642343991
1807, 13387728719891
1808, 13387800673563
1809, 13387815616217
1810, 13387901693945
1811, 13387987891773
1812, 13388074282818
1813, 13388160771857
1814, 13388247143350
1815, 13388319121419
1816, 13388333622607
1818, 13388419881809
1819, 13388506308010
1817, 13388578466393
1820, 13388592721444
1821, 13388679156865
1822, 13388765537978
1823, 13388851973282
1824, 13388924132717
1825, 13388938300267
1826, 13389010364138
1827, 13389025202383
1828, 13389111301904
1829, 13389197592156
1830, 13389283961905
1831, 13389283961905
1832, 13389465799643
1833, 13389528721971
1834, 13389544709386
1835, 13389615071648
1836, 13389629483442
1837, 13389716243138
1838, 13389802374728
1839, 13389888717491
1840, 13389975110341
1841, 13390061708209
1842, 13390147943795
1843, 13390219888412
1844, 13390234631537
1845, 13390321032760
1846, 13390407062092
1847, 13390493628543
1848, 13390580457193
1849, 13390666247725
1850, 13390753159088
1851, 13390824706275
1852, 13390839083271
1853, 13390925536161
1854, 13391011863175
1855, 13391098419133
1856, 13391189196135
1857, 13392034270913
1858, 13392048679235
1859, 13392135093766
1860, 13392221476129
1861, 13392308089501
1862, 13392394389559
1863, 13392480694519
1864, 13392567092499
1865, 13392639234037
1866, 13392653527901
1867, 13392739903867
1868, 13392826470373
1869, 13392999161789
1870, 13393085488411
1871, 13393258269590
1872, 13393431096371
2417, 13419008541050
2418, 13419008693534
2419, 13419008795107
2420, 13419008979397
2421, 13419009073070
2422, 13419610373807
